Date,Time,gender,age,status,income,visitNo,method,timeSpend,location,membershipCard,itemPurchase,visitSpend,quanlityRate,priceRate,sales-promoteDecision,ambianceRate,wifiRate,serviceRate,chooseRate,promoMethod,loyal
2019/10/01,20:32:12,Male,From 20 to 29,Student,"Less than RM25,000",Rarely,Dine in,Between 1 hour to 2 hours,1km - 3km,Yes,Coffee,More than RM40,2,1,5,1,4,3,3,Social Media,Yes
2019/10/02,12:13:06,Female,From 20 to 29,Employed,"Less than RM25,000",Rarely,Drive-thru,Below 30 minutes,1km - 3km,No,Coffee;Cold drinks,Around RM20 - RM40,5,4,3,4,3,3,3,In Store displays,Yes
2019/10/02,9:29:28,Male,From 30 to 39,Student,"Less than RM25,000",Rarely,Dine in,Between 30 minutes to 1 hour,more than 3km,No,Coffee,Around RM20 - RM40,3,3,4,3,3,3,3,Social Media,Yes
2019/10/02,19:14:30,Male,From 20 to 29,Employed,"Less than RM25,000",Rarely,Take away,Between 30 minutes to 1 hour,within 1km,Yes,Coffee,Less than RM20,4,2,3,5,4,4,5,Social Media;Through friends and word of mouth,Yes
2019/10/02,19:15:13,Female,From 20 to 29,Employed,"Less than RM25,000",Rarely,Take away,Below 30 minutes,more than 3km,No,Coffee,Zero,3,1,5,3,4,4,5,Social Media,No
2019/10/02,19:15:27,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,Dine in,Between 30 minutes to 1 hour,1km - 3km,No,Coffee,Less than RM20,4,3,2,4,3,4,4,Through friends and word of mouth,No
2019/10/02,19:23:55,Female,From 20 to 29,Self-employed,"RM25,000 - RM50,000",Monthly,Dine in,Below 30 minutes,within 1km,Yes,Coffee;Cold drinks;Pastries;Sandwiches,Around RM20 - RM40,4,3,4,5,4,4,4,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
2019/10/02,19:27:56,Female,From 20 to 29,Self-employed,"Less than RM25,000",Never,Never buy,Below 30 minutes,more than 3km,No,Never,Zero,3,3,3,3,3,3,3,Never hear,No
2019/10/02,19:29:53,Female,From 20 to 29,Employed,"Less than RM25,000",Rarely,Dine in,Below 30 minutes,more than 3km,No,Coffee,Zero,2,1,5,4,4,4,1,Starbucks Website/Apps;Social Media;Through friends and word of mouth,No
2019/10/02,19:31:32,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,Dine in,Between 30 minutes to 1 hour,1km - 3km,Yes,Cold drinks,Less than RM20,3,3,5,4,3,3,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
2019/10/02,19:33:51,Female,From 20 to 29,Employed,"Less than RM25,000",Rarely,Take away,Below 30 minutes,within 1km,No,Coffee,Less than RM20,4,3,4,5,5,5,3,Social Media;Through friends and word of mouth,Yes
2019/10/02,20:04:41,Male,From 20 to 29,Employed,"RM25,000 - RM50,000",Weekly,Take away,Between 1 hour to 2 hours,within 1km,Yes,Coffee;Sandwiches,Around RM20 - RM40,5,1,3,3,2,3,3,"Starbucks Website/Apps;Deal sites (fave, iprice, etc...)",Yes
2019/10/02,20:08:37,Female,From 20 to 29,Employed,"Less than RM25,000",Monthly,Take away,Below 30 minutes,more than 3km,Yes,Coffee,Less than RM20,4,2,4,4,3,4,3,Through friends and word of mouth,Yes
2019/10/02,20:29:35,Male,From 30 to 39,Employed,"Less than RM25,000",Rarely,Take away,Below 30 minutes,1km - 3km,Yes,Cold drinks,Less than RM20,3,2,4,4,4,5,4,Starbucks Website/Apps;Social Media,Yes
2019/10/02,20:31:21,Female,From 20 to 29,Housewife,"RM50,000 - RM100,000",Rarely,Drive-thru,Below 30 minutes,more than 3km,No,Coffee;Cold drinks,Around RM20 - RM40,3,2,3,3,3,5,4,Social Media,Yes
2019/10/02,20:35:08,Male,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,Take away,Below 30 minutes,more than 3km,Yes,Coffee,Less than RM20,3,3,4,5,4,4,4,"Social Media;Deal sites (fave, iprice, etc...);Through friends and word of mouth",Yes
2019/10/02,20:52:13,Male,From 20 to 29,Employed,"Less than RM25,000",Rarely,Take away,Below 30 minutes,1km - 3km,No,Coffee,Less than RM20,4,2,5,3,2,4,4,Social Media;Emails;Through friends and word of mouth,Yes
2019/10/02,21:19:50,Male,From 20 to 29,Employed,"RM50,000 - RM100,000",Monthly,Dine in,Between 30 minutes to 1 hour,more than 3km,Yes,Coffee,Around RM20 - RM40,4,2,1,4,1,4,4,Social Media,Yes
2019/10/03,7:19:36,Female,From 20 to 29,Student,"Less than RM25,000",Rarely,Take away,Below 30 minutes,more than 3km,No,Coffee,Less than RM20,2,1,5,2,2,2,2,Social Media;Through friends and word of mouth,No
2019/10/03,7:21:08,Female,Below 20,Student,"Less than RM25,000",Rarely,Take away,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,2,2,3,2,2,2,2,"Social Media;Deal sites (fave, iprice, etc...)",No
2019/10/03,8:46:25,Female,From 20 to 29,Employed,"RM50,000 - RM100,000",Monthly,Drive-thru,More than 3 hours,1km - 3km,Yes,Coffee,Around RM20 - RM40,3,2,4,3,1,3,3,Starbucks Website/Apps,No
2019/10/03,9:11:28,Male,From 20 to 29,Employed,"Less than RM25,000",Never,NA,Below 30 minutes,more than 3km,No,Never buy any,Zero,1,1,1,3,3,3,3,NA,No
2019/10/03,11:14:37,Male,From 20 to 29,Self-employed,"RM50,000 - RM100,000",Rarely,Dine in,Between 1 hour to 2 hours,more than 3km,Yes,Cold drinks,Less than RM20,5,5,5,5,5,5,5,Starbucks Website/Apps,Yes
2019/10/03,11:14:44,Male,From 30 to 39,Self-employed,"RM50,000 - RM100,000",Weekly,Take away,Between 30 minutes to 1 hour,1km - 3km,Yes,Coffee,Less than RM20,4,4,2,4,3,4,5,Social Media,Yes
2019/10/03,11:15:13,Male,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,Dine in,Between 1 hour to 2 hours,more than 3km,No,Coffee,Around RM20 - RM40,4,2,4,3,4,4,4,In Store displays,No
2019/10/03,11:17:27,Male,From 30 to 39,Self-employed,"More than RM150,000",Monthly,Dine in,Between 2 hours to 3 hours,more than 3km,Yes,Jaws chip ,Around RM20 - RM40,4,3,4,4,3,4,4,Starbucks Website/Apps;Emails,Yes
2019/10/03,11:18:48,Male,From 20 to 29,Self-employed,"More than RM150,000",Rarely,Drive-thru,Between 30 minutes to 1 hour,more than 3km,Yes,Coffee,More than RM40,4,3,2,3,1,2,2,Social Media;Through friends and word of mouth,Yes
2019/10/03,11:22:03,Female,From 20 to 29,Employed,"Less than RM25,000",Rarely,Dine in,Below 30 minutes,1km - 3km,Yes,Coffee,Around RM20 - RM40,3,3,3,4,3,3,3,Social Media;Through friends and word of mouth,Yes
2019/10/03,11:25:13,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,Take away,Below 30 minutes,within 1km,Yes,cake ,Around RM20 - RM40,4,4,4,4,4,4,4,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
2019/10/03,11:32:03,Male,From 20 to 29,Self-employed,"RM25,000 - RM50,000",Rarely,Dine in,Below 30 minutes,1km - 3km,Yes,Cold drinks,Zero,5,5,5,5,4,5,5,Starbucks Website/Apps,Yes
2019/10/03,12:12:22,Female,From 30 to 39,Employed,"RM50,000 - RM100,000",Weekly,Dine in,Between 1 hour to 2 hours,more than 3km,Yes,Coffee,Around RM20 - RM40,4,4,5,4,4,5,4,Emails,Yes
2019/10/03,12:13:56,Female,From 30 to 39,Employed,"RM25,000 - RM50,000",Monthly,Take away,Between 30 minutes to 1 hour,within 1km,Yes,Coffee;Pastries,Around RM20 - RM40,4,3,4,5,5,4,5,Starbucks Website/Apps;Social Media;Emails;Through friends and word of mouth,Yes
2019/10/03,13:30:06,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Never,Dine in,Below 30 minutes,within 1km,No,Coffee,Zero,3,3,3,3,3,3,3,Social Media,No
2019/10/03,14:13:11,Female,From 20 to 29,Employed,"Less than RM25,000",Rarely,Take away,Below 30 minutes,more than 3km,Yes,Coffee,Less than RM20,5,3,5,5,4,4,1,Social Media;In Store displays,Yes
2019/10/03,14:34:09,Male,From 20 to 29,Employed,"RM50,000 - RM100,000",Monthly,Take away,Below 30 minutes,more than 3km,Yes,Coffee,Around RM20 - RM40,3,1,3,3,1,3,2,Social Media;Through friends and word of mouth,Yes
2019/10/03,15:11:13,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,Dine in,Between 30 minutes to 1 hour,1km - 3km,Yes,Cold drinks,Less than RM20,3,3,5,4,3,3,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
2019/10/03,15:44:13,Female,From 20 to 29,Self-employed,"Less than RM25,000",Rarely,Take away,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,3,3,1,4,3,4,4,Social Media;Through friends and word of mouth,Yes
2019/10/03,16:25:38,Female,From 30 to 39,Employed,"Less than RM25,000",Rarely,I dont like coffee,Below 30 minutes,within 1km,No,Pastries,Around RM20 - RM40,3,3,3,3,3,3,3,Social Media,Yes
2019/10/03,16:41:10,Female,From 20 to 29,Employed,"RM25,000 - RM50,000",Rarely,Drive-thru,Below 30 minutes,1km - 3km,Yes,Coffee,Around RM20 - RM40,4,3,4,3,3,4,4,Starbucks Website/Apps;Emails,Yes
2019/10/03,17:19:31,Male,From 30 to 39,Employed,"Less than RM25,000",Rarely,Drive-thru,Between 30 minutes to 1 hour,more than 3km,Yes,Coffee,Less than RM20,4,2,3,4,4,4,4,Social Media,Yes
2019/10/03,18:24:46,Male,From 20 to 29,Student,"Less than RM25,000",Rarely,Drive-thru,Between 30 minutes to 1 hour,more than 3km,No,Cold drinks,Around RM20 - RM40,3,2,3,3,3,3,3,Through friends and word of mouth,Yes
2019/10/03,18:31:44,Male,From 20 to 29,Student,"Less than RM25,000",Rarely,Dine in,Between 30 minutes to 1 hour,more than 3km,No,Coffee,Less than RM20,3,4,3,3,1,2,3,Through friends and word of mouth,Yes
2019/10/03,18:35:21,Male,From 20 to 29,Self-employed,"RM50,000 - RM100,000",Daily,Drive-thru,Below 30 minutes,more than 3km,Yes,Coffee,Around RM20 - RM40,4,2,4,4,3,3,3,Social Media;Emails,Yes
2019/10/03,18:41:20,Male,From 30 to 39,Employed,"RM25,000 - RM50,000",Weekly,Dine in,Between 1 hour to 2 hours,more than 3km,No,Coffee;Pastries,More than RM40,4,5,5,4,4,3,3,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
2019/10/03,18:44:10,Male,Below 20,Student,"Less than RM25,000",Rarely,Drive-thru,Between 30 minutes to 1 hour,more than 3km,No,Pastries,Less than RM20,4,4,4,4,4,4,4,Social Media;Emails,No
2019/10/03,18:45:28,Male,40 and above,Employed,"RM50,000 - RM100,000",Monthly,Drive-thru,Between 30 minutes to 1 hour,more than 3km,No,Cold drinks,Around RM20 - RM40,4,3,5,4,4,4,4,Starbucks Website/Apps,Yes
2019/10/03,18:46:53,Male,From 20 to 29,Student,"Less than RM25,000",Rarely,Take away,Below 30 minutes,more than 3km,No,Coffee,Around RM20 - RM40,3,3,3,3,3,3,3,Starbucks Website/Apps;Social Media,Yes
2019/10/03,19:00:47,Female,Below 20,Student,"Less than RM25,000",Never,Never,Below 30 minutes,more than 3km,No,Cold drinks;Never,Zero,3,2,2,2,3,3,3,Starbucks Website/Apps;Social Media;Through friends and word of mouth,Yes
2019/10/03,19:14:53,Male,From 20 to 29,Student,"Less than RM25,000",Never,never,Below 30 minutes,within 1km,No,never,Zero,3,3,3,1,3,3,4,Through friends and word of mouth,No
2019/10/03,19:40:31,Male,From 20 to 29,Student,"Less than RM25,000",Rarely,Dine in,Below 30 minutes,more than 3km,No,Coffee;Pastries,Less than RM20,3,3,3,3,3,3,2,Social Media,No
2019/10/03,19:43:00,Male,From 20 to 29,Student,"Less than RM25,000",Rarely,Take away,Below 30 minutes,more than 3km,No,Cold drinks,Zero,4,2,3,5,4,4,2,Social Media,No
2019/10/03,19:47:00,Female,From 20 to 29,Employed,"Less than RM25,000",Monthly,Take away,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,5,4,4,4,4,4,4,Social Media;Through friends and word of mouth;In Store displays;Billboards,Yes
2019/10/03,19:58:17,Male,From 20 to 29,Student,"More than RM150,000",Never,Never ,Below 30 minutes,more than 3km,No,Nothing ,Zero,1,1,1,1,1,1,1,Billboards,No
2019/10/03,20:58:26,Female,Below 20,Student,"Less than RM25,000",Rarely,Take away,Below 30 minutes,more than 3km,No,Cold drinks,Less than RM20,3,4,5,5,5,4,4,Social Media,Yes
2019/10/03,21:25:36,Male,40 and above,Self-employed,"RM25,000 - RM50,000",Rarely,Dine in,Between 30 minutes to 1 hour,more than 3km,No,Cold drinks,Less than RM20,2,2,1,2,2,3,2,In Store displays,No
2019/10/03,13:38:42,Male,Below 20,Student,"Less than RM25,000",Daily,Take away,Below 30 minutes,more than 3km,No,Cold drinks,Around RM20 - RM40,5,5,5,5,5,5,5,Social Media;Through friends and word of mouth,Yes
2019/10/03,13:24:55,Male,From 30 to 39,Student,"Less than RM25,000",Monthly,Dine in,Between 1 hour to 2 hours,more than 3km,No,Cold drinks,Less than RM20,4,4,5,4,2,3,4,Social Media,Yes
2019/10/04,12:24:26,Male,40 and above,Self-employed,"RM25,000 - RM50,000",Monthly,Dine in,Between 1 hour to 2 hours,1km - 3km,Yes,Coffee,Around RM20 - RM40,3,3,5,3,2,4,4,Starbucks Website/Apps;Social Media,Yes
2019/10/04,9:30:09,Male,From 20 to 29,Employed,"Less than RM25,000",Monthly,Dine in,Between 1 hour to 2 hours,1km - 3km,Yes,Coffee;Cold drinks;Juices;Pastries;Sandwiches,More than RM40,5,5,5,5,5,5,5,"Starbucks Website/Apps;Social Media;Emails;Deal sites (fave, iprice, etc...);Through friends and word of mouth;In Store displays;Billboards",Yes
2019/10/04,13:46:07,Male,From 20 to 29,Student,"Less than RM25,000",Rarely,Dine in,Between 30 minutes to 1 hour,1km - 3km,No,Coffee;Cold drinks,Less than RM20,3,2,4,3,3,3,4,Social Media;Through friends and word of mouth;In Store displays,No
2019/10/05,11:01:14,Female,From 20 to 29,Employed,"Less than RM25,000",Rarely,Take away,Below 30 minutes,within 1km,No,Coffee,Less than RM20,4,4,4,4,4,4,4,Social Media;Through friends and word of mouth;Billboards,Yes
2019/10/05,16:57:22,Male,From 20 to 29,Employed,"RM50,000 - RM100,000",Rarely,Dine in,Between 30 minutes to 1 hour,1km - 3km,No,Coffee,Less than RM20,1,1,5,4,3,3,2,In Store displays,No
